onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
547958,881844,7,58644,3,5,10,170.0,107,80,473834.0
610290,828062,2,101870,1,2,12,188.0,109,112,311973.0
640249,792994,2,54434,1,9,11,172.0,107,79,528634.0
522640,787740,3,56023,4,8,11,165.0,101,81,448106.5
617893,728235,5,91030,4,4,11,163.0,84,108,308643.5
605017,835653,4,98980,4,7,13,146.0,106,125,333091.5
541051,785642,5,91792,5,5,15,0.0,82,68,298023.0
697555,716161,5,63403,1,10,10,174.0,74,125,501920.5
520244,753767,4,142396,5,4,9,200.0,117,97,69231.5
646250,839109,7,124667,5,5,15,163.0,53,129,239018.0
