onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
582475,864607,5,147580,5,7,9.0,169,94,74,141833.5
630489,717182,5,96226,1,9,8.0,191,101,94,317119.0
537143,873326,4,114966,2,7,13.0,178,82,76,253530.5
607617,805462,7,125676,2,3,15.0,164,87,93,195854.0
663985,748107,3,146540,3,7,9.0,164,63,92,128489.5
563886,860148,3,64481,5,1,14.0,163,113,108,455824.5
630597,791700,3,83938,5,4,0.0,136,56,115,377575.0
636396,702442,5,132540,4,9,10.0,190,113,127,167998.0
678346,772156,4,76480,2,7,12.0,167,64,140,427496.0
686538,797605,3,77703,5,9,12.0,198,74,132,462499.0
